SALE TYPE	HOME TYPE	ADDRESS	CITY	STATE	ZIP	BEDS
Past Sale	Single Family Residential	740 Kathryne Ave	San Mateo	CA	94401	3
Past Sale	Single Family Residential	560 Fathom Dr	San Mateo	CA	94404	2
Past Sale	Single Family Residential	1697 Eisenhower St	San Mateo	CA	94403	3
Past Sale	Condo/Coop	1 Baldwin Ave Apt 506	San Mateo	CA	94401	1
Past Sale	Townhouse	817 SPRUANCE Ln	Foster City	CA	94404	3
Past Sale	Single Family Residential	140 N Claremont St	San Mateo	CA	94401	2
Past Sale	Condo/Coop	249 Elm St #104	San Mateo	CA	94401	2
Past Sale	Townhouse	750 Pinta Ln	Foster City	CA	94404	3
Past Sale	Single Family Residential	936 Constitution Dr	Foster City	CA	94404	4
Past Sale	Condo/Coop	26 W 4TH Ave #4	San Mateo	CA	94402	2
Past Sale	Single Family Residential	300 RANELAGH Rd	Hillsborough	CA	94010	4
Past Sale	Condo/Coop	10 Crystal Springs Rd Unit 2212	San Mateo	CA	94402	1
Past Sale	Condo/Coop	820 N DELAWARE St #305	San Mateo	CA	94401	2
Past Sale	Single Family Residential	1532 Dale Ave	San Mateo	CA	94401	3
Past Sale	Condo/Coop	780 Sea Spray Ln Apt 108	Foster City	CA	94404	2
Past Sale	Single Family Residential	308 Sonora Dr	San Mateo	CA	94402	4
Past Sale	Townhouse	881 Cabot Ln	Foster City	CA	94404	3
Past Sale	Condo/Coop	820 N Delaware St Apt 202	San Mateo	CA	94401	1
Past Sale	Single Family Residential	236 Amherst Ave	San Mateo	CA	94402	4
Past Sale	Single Family Residential	1755 KLAMATH Ave	San Mateo	CA	94403	3
Past Sale	Condo/Coop	1057 SHELL Blvd #2	Foster City	CA	94404	2
Past Sale	Townhouse	141 E COURT Ln	Foster City	CA	94404	2
Past Sale	Townhouse	701 Foster City Blvd	Foster City	CA	94404	2
Past Sale	Condo/Coop	3041 Los Prados St #101	San Mateo	CA	94403	2
Past Sale	Townhouse	664 Cygnus Ln	Foster City	CA	94404	2
Past Sale	Single Family Residential	41 Baywood Ave	San Mateo	CA	94402	2
